player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Kobe Bufkin,ATL,21,10,12.4,5.3,2.1,1.7,0.3,0.2,0.8,0.383,0.211,0.722,-2.3,10.57,4299000,FALSE,4.299,2.46
Alex Sarr,WAS,20,67,27.1,13,6.5,2.4,0.7,1.5,1.7,0.394,0.308,0.679,-8.1,27.1,11245680,TRUE,11.24568,2.41
PJ Dozier,MIN,28,9,3.9,0.8,0.6,0.6,0.1,0,0.1,0.667,0.667,0.167,-0.4,2.52,1051255,FALSE,1.051255,2.4
Jabari Smith Jr.,HOU,22,57,30.1,12.2,7,1.1,0.4,0.7,1.1,0.438,0.354,0.825,4.4,23.35,9770880,TRUE,9.77088,2.39
Nicolas Batum,LAC,36,78,17.5,4,2.8,1.1,0.7,0.5,0.4,0.437,0.433,0.81,1.9,11.01,4668000,TRUE,4.668,2.36
Jonas Valanciunas,SAC,33,81,18.8,10.4,7.7,2,0.5,0.6,1.5,0.55,0.216,0.879,-3.8,23.34,9900000,TRUE,9.9,2.36
Goga Bitadze,ORL,25,70,20.4,7.2,6.6,2,0.7,1.4,1,0.611,0.107,0.639,1.1,21.32,9057971,TRUE,9.057971,2.35
Jordan McLaughlin,SAS,29,46,6.8,2.1,0.7,1.1,0.3,0,0.3,0.431,0.413,0.773,1.2,4.89,2087519,FALSE,2.087519,2.34
Damion Lee,PHX,32,25,5.8,3.3,0.8,0.4,0.2,0,0.4,0.365,0.243,0.952,1,4.86,2087519,FALSE,2.087519,2.33
Scoot Henderson,POR,21,66,26.7,12.7,3,5.1,1,0.2,2.7,0.419,0.354,0.767,-0.6,23.65,10259160,TRUE,10.25916,2.31
Al Horford,BOS,39,60,27.6,9,6.2,2.1,0.6,0.9,0.8,0.423,0.363,0.895,6.6,21.79,9500000,TRUE,9.5,2.29
Jaylon Tyson,CLE,22,47,9.6,3.6,2,0.9,0.3,0.1,0.6,0.43,0.345,0.792,0,7.55,3326160,FALSE,3.32616,2.27
Dean Wade,CLE,28,59,21.2,5.4,4.2,1.3,0.7,0.3,0.4,0.413,0.36,0.533,4.8,13.99,6166667,TRUE,6.166667,2.27
Drew Eubanks,LAC,28,61,12.2,4.6,3.7,0.9,0.2,0.6,0.7,0.593,0.5,0.662,-2.1,11.29,5000000,FALSE,5,2.26
